epoch,loss,accuracy,val_loss,val_accuracy,lr
1,1.9903740882873535,0.24764443933963776,2.318160057067871,0.18359999358654022,0.001
2,1.7295141220092773,0.3294889032840729,1.4959871768951416,0.45559999346733093,0.001
3,1.6193251609802246,0.36844444274902344,1.6091952323913574,0.43880000710487366,0.001
4,1.52443265914917,0.41108888387680054,1.4813566207885742,0.5149999856948853,0.001
5,1.4450044631958008,0.4423777759075165,1.1909831762313843,0.5741999745368958,0.001
6,1.3683165311813354,0.4831555485725403,1.312156081199646,0.5307999849319458,0.001
7,1.2538714408874512,0.5366222262382507,1.2919007539749146,0.5626000165939331,0.001
8,1.1451069116592407,0.579022228717804,0.9770182371139526,0.6549999713897705,0.0005
9,1.0890003442764282,0.6076444387435913,0.8775596618652344,0.6913999915122986,0.0005
10,1.0562993288040161,0.6212444305419922,0.8752326369285583,0.6872000098228455,0.0005
11,1.0351485013961792,0.6302666664123535,0.8318767547607422,0.7071999907493591,0.0005
12,0.9901202917098999,0.6498444676399231,0.8162294030189514,0.7134000062942505,0.0005
13,0.9702083468437195,0.658644437789917,0.8222914338111877,0.7149999737739563,0.0005
14,0.9497978091239929,0.6665777564048767,0.7974290251731873,0.7161999940872192,0.0005
15,0.9195966720581055,0.6798666715621948,0.7859606742858887,0.7269999980926514,0.0005
16,0.8929690718650818,0.6912888884544373,0.778619110584259,0.7297999858856201,0.0005
17,0.8697763681411743,0.6956666707992554,0.850304126739502,0.7131999731063843,0.0005
18,0.846308708190918,0.7042222023010254,0.7972003221511841,0.723800003528595,0.0005
19,0.8117426037788391,0.7192222476005554,0.7205077409744263,0.7534000277519226,0.00025
20,0.7992225885391235,0.7255555391311646,0.6583204865455627,0.7653999924659729,0.00025
21,0.7755985260009766,0.7319555282592773,0.667299211025238,0.7674000263214111,0.00025
22,0.7760480642318726,0.7322666645050049,0.7275084853172302,0.7512000203132629,0.00025
23,0.7494734525680542,0.7408666610717773,0.661132276058197,0.7694000005722046,0.000125
24,0.7443979978561401,0.7429777979850769,0.6677895784378052,0.7626000046730042,0.000125
