,precision,recall,f1-score,support
5,0.9830508474576272,0.9753363228699552,0.9791783905458639,892.0
6,0.9772020725388602,0.9843423799582464,0.9807592303692148,958.0
accuracy,0.98,0.98,0.98,0.98
macro avg,0.9801264599982437,0.9798393514141008,0.9799688104575393,1850.0
weighted avg,0.9800221304996927,0.98,0.9799970092219559,1850.0
