epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_macro_f1,learning_rate
1,0.34422138298492805,0.051727406084537506,0.9122549019607843,0.9855555555555555,0.9854850457972969,0.001
2,0.11521152110368597,0.038441975169711644,0.9672352941176471,0.9892222222222222,0.9891891156211907,0.001
3,0.09340225491570492,0.035295661058690815,0.9723529411764706,0.9888888888888889,0.9888233937144895,0.001
4,0.07579596271000656,0.02942361910806762,0.9779607843137255,0.9907777777777778,0.9907294686917799,0.001
5,0.06801868906777864,0.03309549769096904,0.9795294117647059,0.9901111111111112,0.99003819382951,0.001
6,0.06293989619203642,0.025430538263585833,0.9811176470588235,0.9918888888888889,0.9918661025238743,0.001
7,0.057022276489173664,0.026163711683617696,0.9827843137254902,0.9914444444444445,0.991446298593497,0.001
8,0.05870108619157006,0.027111621106250417,0.9824117647058823,0.9916666666666667,0.9916087173315429,0.0005
9,0.04738490813123245,0.02087539402147134,0.9856274509803922,0.993,0.9929856762375149,0.0005
10,0.04283681584544041,0.018327525366097688,0.9867254901960785,0.9938888888888889,0.9938421942613795,0.0005
11,0.03992253465161604,0.020427211073123747,0.987764705882353,0.9943333333333333,0.9942645476855081,0.0005
12,0.04032434293890701,0.021249407848550214,0.9875098039215686,0.9932222222222222,0.9931915381518627,0.00025
13,0.035459945928232345,0.01843506842127277,0.9891568627450981,0.9944444444444445,0.9944325813787401,0.00025
14,0.03384733591886128,0.018433309372255787,0.9898039215686274,0.9941111111111111,0.9940718622335908,0.000125
