epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_f1
1,0.02514363098370269,0.028664265772344624,0.9977299644690091,0.9956573233320174,0.9959244164505372
2,0.016188379036051907,0.01948496140286474,0.9980260560600079,0.9960521121200158,0.9962935507783544
3,0.01275476497508982,0.016038202417108627,0.9980260560600079,0.9960521121200158,0.9962935507783544
4,0.010888089521668646,0.014095345250049383,0.9980260560600079,0.9964469009080142,0.996662958843159
5,0.009689601318588264,0.012848087673427273,0.9980260560600079,0.9964469009080142,0.996662958843159
6,0.00883693403546302,0.011918836797060873,0.9980260560600079,0.9968416896960126,0.9970326409495549
7,0.00819003300279933,0.011238129678182567,0.9980260560600079,0.9968416896960126,0.9970326409495549
8,0.007684520428240483,0.010694471457377336,0.9981247532570074,0.9968416896960126,0.9970326409495549
9,0.007269632952999029,0.010250813536335017,0.9982234504540071,0.9972364784840111,0.9974025974025974
10,0.006923930668092069,0.00987795372382755,0.9983221476510067,0.9972364784840111,0.9974025974025974
11,0.006631553363712935,0.009557836360261529,0.9985195420450059,0.9972364784840111,0.9974025974025974
12,0.006380128489305132,0.009283987530147343,0.9986182392420055,0.9972364784840111,0.9974025974025974
13,0.006158487040906665,0.009039392070766355,0.9987169364390052,0.9976312672720095,0.9977728285077951
14,0.005963062306747629,0.008824009110491794,0.9987169364390052,0.9980260560600079,0.9981433345711103
15,0.005788497755389208,0.008633873855063437,0.9988156336360048,0.9980260560600079,0.9981433345711103
16,0.005630850614046803,0.008460221098471993,0.9989143308330043,0.9980260560600079,0.9981433345711103
17,0.005485774361534672,0.008300478069963736,0.9989143308330043,0.9980260560600079,0.9981433345711103
18,0.005356900951467049,0.008163415479331394,0.9989143308330043,0.9980260560600079,0.9981433345711103
19,0.005237718051543532,0.008032168456376745,0.9989143308330043,0.9980260560600079,0.9981433345711103
20,0.0051269716367203354,0.007909172608488562,0.9989143308330043,0.9980260560600079,0.9981433345711103
21,0.005025035769057869,0.00779509856106486,0.9989143308330043,0.9980260560600079,0.9981433345711103
22,0.004930120426484654,0.007685624433658235,0.9989143308330043,0.9980260560600079,0.9981433345711103
23,0.004842202029398781,0.007587422512753595,0.9989143308330043,0.9980260560600079,0.9981433345711103
24,0.004759406383674466,0.00749632296680156,0.9989143308330043,0.9980260560600079,0.9981433345711103
25,0.004681751202018894,0.007412547256530063,0.9989143308330043,0.9980260560600079,0.9981433345711103
