epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_macro_f1
1,0.46568091862809424,0.2485621486769782,0.874,0.9294444444444444,0.928777137305621
2,0.19287905996219784,0.1670795392062929,0.944,0.9541111111111111,0.9537030466426909
3,0.13397406740749584,0.1313784556918674,0.9623137254901961,0.9643333333333334,0.964162207773135
4,0.10342904730404125,0.11267816389269299,0.970156862745098,0.9673333333333334,0.9670530245875952
5,0.08513015685420411,0.09852533908022774,0.9753333333333334,0.9726666666666667,0.9725484779375047
6,0.07252986175055598,0.08617640449603399,0.9788235294117648,0.9754444444444444,0.9753523360637993
7,0.06425164806667497,0.08863156830602222,0.9812352941176471,0.9761111111111112,0.976015167942862
8,0.057210851288309286,0.07850525026188956,0.9831372549019608,0.9792222222222222,0.9791219985802693
9,0.05168615912134741,0.07385655444198184,0.9849803921568627,0.9787777777777777,0.9786910735055889
10,0.047130257946603436,0.07314015293783611,0.986078431372549,0.979,0.978922514426765
11,0.04436968697753607,0.07407561971743902,0.9870392156862745,0.9783333333333334,0.9782869666851903
12,0.040822524118949384,0.07388146619002024,0.9883529411764705,0.9771111111111112,0.9770656649448405
