epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,validation_macro_f1
1,0.42466863541042105,0.20090810431374445,0.8758627450980392,0.9418888888888889,0.9414894300837485
2,0.1728414338990754,0.12994688169161478,0.9485686274509804,0.961,0.9606878135488304
3,0.12162447115603615,0.10422114545106888,0.9634705882352941,0.9688888888888889,0.968741073497297
4,0.09597976844684751,0.09352603885862562,0.9704705882352941,0.972,0.9717757641930378
5,0.07829306528468927,0.09158411462439431,0.9756862745098039,0.9733333333333334,0.9731496299801481
6,0.0655211454989279,0.08259886496596866,0.9789803921568627,0.9765555555555555,0.9763880042032603
7,0.05656529839051997,0.08111566702524821,0.9818823529411764,0.9782222222222222,0.9780528681270171
8,0.04697734599487454,0.08006199909581078,0.9844705882352941,0.9777777777777777,0.9776502735486703
9,0.04308078528853024,0.07604818770620558,0.9860980392156863,0.9778888888888889,0.9776812244005754
10,0.038733107632866096,0.07793492670853933,0.9868627450980392,0.9804444444444445,0.9803521366248393
11,0.034661913039637546,0.0811201131410069,0.988921568627451,0.9783333333333334,0.9781968046375276
12,0.03111689076559874,0.08310246137777964,0.9893725490196078,0.9788888888888889,0.9788049590826043
13,0.028074012717049495,0.07847559808029068,0.9904117647058823,0.9785555555555555,0.9784703448228569
14,0.026770251076303278,0.0801855781674385,0.991078431372549,0.98,0.9798327376625316
15,0.024485669383085242,0.0827459545565976,0.9913921568627451,0.9812222222222222,0.9811100759766042
