epoch,train_loss,validation_loss,validation_accuracy,validation_f1
1,0.10752210863901333,0.06267118345571573,0.9819223985890653,0.9826931194596876
2,0.04954119366006898,0.04687686648870271,0.9872134038800705,0.987779182469448
3,0.036643801191715945,0.03873012333490756,0.9880952380952381,0.9886315789473684
4,0.027531629322927718,0.03967546281360444,0.9876543209876543,0.9882747068676717
5,0.019931554745645785,0.030040277155014363,0.9916225749559083,0.9920134510298445
6,0.016836069142354547,0.03549273455321684,0.9907407407407407,0.9911054637865311
7,0.012869514878019945,0.037132020749815295,0.9894179894179894,0.9899581589958159
8,0.010886036191107307,0.03482196663549035,0.9916225749559083,0.9920402178466695
9,0.010337931797953151,0.027925295354486353,0.9916225749559083,0.9919865035849852
10,0.005778801254430161,0.02454744849101077,0.9938271604938271,0.9941176470588236
11,0.005216687512674894,0.023694944090819285,0.9938271604938271,0.9941176470588236
12,0.0032984844864708614,0.025114253940261125,0.9902998236331569,0.9907329401853412
