,precision,recall,f1-score,support
5,0.9921259842519685,0.9887892376681614,0.9904548006737788,892.0
6,0.9895941727367326,0.9926931106471816,0.9911412193850964,958.0
accuracy,0.9908108108108108,0.9908108108108108,0.9908108108108108,0.9908108108108108
macro avg,0.9908600784943505,0.9907411741576715,0.9907980100294376,1850.0
weighted avg,0.9908149164511058,0.9908108108108108,0.9908102542550989,1850.0
