,precision,recall,f1-score,support
5,0.9808342728297632,0.9753363228699552,0.9780775716694773,892.0
6,0.9771547248182763,0.9822546972860126,0.9796980739198334,958.0
accuracy,0.9789189189189189,0.9789189189189189,0.9789189189189189,0.9789189189189189
macro avg,0.9789944988240198,0.9787955100779839,0.9788878227946554,1850.0
weighted avg,0.9789288636432744,0.9789189189189189,0.978916729051013,1850.0
