epoch,train_loss,validation_loss,validation_accuracy,validation_f1
1,0.20767711071011488,0.12661183917175525,0.9656084656084656,0.9672544080604534
2,0.11262106668175732,0.10282826679881918,0.972663139329806,0.9739714525608733
3,0.09653496912188467,0.0932948117060636,0.9748677248677249,0.9761206535400084
4,0.08865593446876759,0.08816887669567498,0.9770723104056437,0.9780590717299578
5,0.08367657458315005,0.08435819606827259,0.9761904761904762,0.9773489932885906
6,0.08007354992133309,0.08194098624234898,0.9775132275132276,0.9785443836769037
7,0.0771535059621757,0.08021437443096381,0.9744268077601411,0.97571189279732
8,0.0750445274531631,0.07823893127591731,0.9761904761904762,0.9773299748110831
9,0.07317193349914322,0.07744903913723729,0.9770723104056437,0.9780960404380792
10,0.07175046562115224,0.07589498234541538,0.9761904761904762,0.977291841883936
11,0.07029343822383917,0.07495969862429133,0.9757495590828924,0.9769198489299202
12,0.06893986640016518,0.07439435320714163,0.9766313932980599,0.9776842105263158
13,0.0678368175486268,0.07363038554104337,0.9748677248677249,0.9761206535400084
14,0.06680566901136767,0.07289143208236921,0.9770723104056437,0.9781696053736356
15,0.0658758988458363,0.07235228826129247,0.9775132275132276,0.9785263157894737
